,pair,sentence,attitude
988,"author,россия"," HuffPost Европа должна пойти навстречу России пока она не стала еще агрессивней Проявляя осторожность все же не стоит забывать об интересах которые объединяют Россию и Запад считает она Уже долгие годы Путин активно проводит авторитарную политику пишет Бернер гражданское общество в России задыхается многие правозащитные организации вынуждены прекращать свою деятельность в стране противники режима подвергаются гонениям 
 Но уступки по Украине будут лишь тактическим ходом добавляет она  Россия никогда не откажется от своей сферы интересов охватывающей постсоветское пространство Отвечая на этот вопрос автор ссылается на «Доктрину Обамы» видение отношений России и Запада которое президент США изложил в своем интервью журналу The Atlantic «Разумно ли имея с одной стороны ослабленную и как следствие более опасную и непредсказуемую Россию и могущественный и авторитарный Китай  с другой изолировать Россию таким образом толкая эти два недемократических государства навстречу друг другу»",neutral
989,"author,сша"," Отвечая на этот вопрос автор ссылается на «Доктрину Обамы» видение отношений России и Запада которое президент США изложил в своем интервью журналу The Atlantic Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
990,"author,украина", Но уступки по Украине будут лишь тактическим ходом добавляет она  Россия никогда не откажется от своей сферы интересов охватывающей постсоветское пространство Поэтому сейчас действительно стоит задуматься о том должна ли политика Европы в отношении России сводиться исключительно к тому чтобы ослаблять или усиливать давление или же  во имя общих интересов и учитывая опасность такой «односторонней» политики – следует также рассмотреть возможность сотрудничества с Москвой не забывая при этом Украину Грузию и европейские демократические ценности,neutral
991,"башар асад,владимир путин"," Поддержав Башара Асада и тем самым изменив расклад сил в гражданской войне Владимир Путин «приоткрыл дверь для переговоров по Сирии» 
",neutral
992,"башар асад,путин"," Поддержав Башара Асада и тем самым изменив расклад сил в гражданской войне Владимир Путин «приоткрыл дверь для переговоров по Сирии» 
",neutral
993,"бенедикт бернер,huffington post"," К режиму Путина бесспорно следует относиться с осторожностью отмечает французский профессор и глава шведского Комитета по правам человека Бенедикт Бернер на станицах Huffington Post 
",neutral
994,"бенедикт бернер,бернер"," К режиму Путина бесспорно следует относиться с осторожностью отмечает французский профессор и глава шведского Комитета по правам человека Бенедикт Бернер на станицах Huffington Post 
 Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
995,"бенедикт бернер,россия"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
996,"бенедикт бернер,украина"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
997,"бернер,huffington post"," К режиму Путина бесспорно следует относиться с осторожностью отмечает французский профессор и глава шведского Комитета по правам человека Бенедикт Бернер на станицах Huffington Post 
",neutral
998,"бернер,россия"," Уже долгие годы Путин активно проводит авторитарную политику пишет Бернер гражданское общество в России задыхается многие правозащитные организации вынуждены прекращать свою деятельность в стране противники режима подвергаются гонениям 
 Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
999,"бернер,сша"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1000,"бернер,украина"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1001,"владимир путин,путин"," Поддержав Башара Асада и тем самым изменив расклад сил в гражданской войне Владимир Путин «приоткрыл дверь для переговоров по Сирии» 
",neutral
1002,"европа,москва", Поэтому сейчас действительно стоит задуматься о том должна ли политика Европы в отношении России сводиться исключительно к тому чтобы ослаблять или усиливать давление или же  во имя общих интересов и учитывая опасность такой «односторонней» политики – следует также рассмотреть возможность сотрудничества с Москвой не забывая при этом Украину Грузию и европейские демократические ценности,neutral
1003,"европа,россия"," HuffPost Европа должна пойти навстречу России пока она не стала еще агрессивней Поэтому сейчас действительно стоит задуматься о том должна ли политика Европы в отношении России сводиться исключительно к тому чтобы ослаблять или усиливать давление или же  во имя общих интересов и учитывая опасность такой «односторонней» политики – следует также рассмотреть возможность сотрудничества с Москвой не забывая при этом Украину Грузию и европейские демократические ценности Если Европа действительно не хочет этого допустить ей следует сосредоточить свое внимание на сфере общих интересов с Россией и приложить дополнительные усилия для успешной реализации Минских соглашений предлагает профессор Бернер
",neg
1004,"европа,украина", Поэтому сейчас действительно стоит задуматься о том должна ли политика Европы в отношении России сводиться исключительно к тому чтобы ослаблять или усиливать давление или же  во имя общих интересов и учитывая опасность такой «односторонней» политики – следует также рассмотреть возможность сотрудничества с Москвой не забывая при этом Украину Грузию и европейские демократические ценности,neutral
1005,"запад,сша", Отвечая на этот вопрос автор ссылается на «Доктрину Обамы» видение отношений России и Запада которое президент США изложил в своем интервью журналу The Atlantic,neutral
1006,"иран,путин", В достижении ядерной сделки с Ираном участие Путина также сыграло решающую роль,neutral
1007,"комитет по право человек,huffington post"," К режиму Путина бесспорно следует относиться с осторожностью отмечает французский профессор и глава шведского Комитета по правам человека Бенедикт Бернер на станицах Huffington Post 
",neutral
1008,"комитет по право человек,бенедикт бернер"," К режиму Путина бесспорно следует относиться с осторожностью отмечает французский профессор и глава шведского Комитета по правам человека Бенедикт Бернер на станицах Huffington Post 
",neutral
1009,"комитет по право человек,бернер"," К режиму Путина бесспорно следует относиться с осторожностью отмечает французский профессор и глава шведского Комитета по правам человека Бенедикт Бернер на станицах Huffington Post 
",neutral
1010,"москва,грузия", Поэтому сейчас действительно стоит задуматься о том должна ли политика Европы в отношении России сводиться исключительно к тому чтобы ослаблять или усиливать давление или же  во имя общих интересов и учитывая опасность такой «односторонней» политики – следует также рассмотреть возможность сотрудничества с Москвой не забывая при этом Украину Грузию и европейские демократические ценности,neutral
1011,"москва,европейский союз"," Тем более что в решении этих проблем Москва уже успела продемонстрировать большую эффективность чем Европейский союз признает автор 
",neutral
1012,"москва,украина", Поэтому сейчас действительно стоит задуматься о том должна ли политика Европы в отношении России сводиться исключительно к тому чтобы ослаблять или усиливать давление или же  во имя общих интересов и учитывая опасность такой «односторонней» политики – следует также рассмотреть возможность сотрудничества с Москвой не забывая при этом Украину Грузию и европейские демократические ценности,neutral
1013,"обама,бенедикт бернер"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1014,"обама,бернер"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1015,"обама,украина"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1016,"путин,бенедикт бернер"," К режиму Путина бесспорно следует относиться с осторожностью отмечает французский профессор и глава шведского Комитета по правам человека Бенедикт Бернер на станицах Huffington Post 
",neutral
1017,"путин,бернер"," К режиму Путина бесспорно следует относиться с осторожностью отмечает французский профессор и глава шведского Комитета по правам человека Бенедикт Бернер на станицах Huffington Post 
 Уже долгие годы Путин активно проводит авторитарную политику пишет Бернер гражданское общество в России задыхается многие правозащитные организации вынуждены прекращать свою деятельность в стране противники режима подвергаются гонениям 
",neutral
1018,"путин,запад", Очевидно «репрессивная» политика Путина является естественным порождением политической системы которая приобретает все более явные черты авторитаризма но также является следствием бедственного положения в экономике и давления со стороны Запада делает вывод Бенедикт Бернер,neutral
1019,"путин,комитет по право человек"," К режиму Путина бесспорно следует относиться с осторожностью отмечает французский профессор и глава шведского Комитета по правам человека Бенедикт Бернер на станицах Huffington Post 
",neutral
1020,"путин,россия"," Уже долгие годы Путин активно проводит авторитарную политику пишет Бернер гражданское общество в России задыхается многие правозащитные организации вынуждены прекращать свою деятельность в стране противники режима подвергаются гонениям 
",neutral
1021,"россия,грузия", Поэтому сейчас действительно стоит задуматься о том должна ли политика Европы в отношении России сводиться исключительно к тому чтобы ослаблять или усиливать давление или же  во имя общих интересов и учитывая опасность такой «односторонней» политики – следует также рассмотреть возможность сотрудничества с Москвой не забывая при этом Украину Грузию и европейские демократические ценности,neutral
1022,"россия,запад", Проявляя осторожность все же не стоит забывать об интересах которые объединяют Россию и Запад считает она Отвечая на этот вопрос автор ссылается на «Доктрину Обамы» видение отношений России и Запада которое президент США изложил в своем интервью журналу The Atlantic,neutral
1023,"россия,китай", «Разумно ли имея с одной стороны ослабленную и как следствие более опасную и непредсказуемую Россию и могущественный и авторитарный Китай  с другой изолировать Россию таким образом толкая эти два недемократических государства навстречу друг другу»,neutral
1024,"россия,москва"," Европейские санкции и их «тягостные» для России последствия в конечном счете могут сделать Москву более «сговорчивой» особенно в украинском вопросе предполагает автор 
 Поэтому сейчас действительно стоит задуматься о том должна ли политика Европы в отношении России сводиться исключительно к тому чтобы ослаблять или усиливать давление или же  во имя общих интересов и учитывая опасность такой «односторонней» политики – следует также рассмотреть возможность сотрудничества с Москвой не забывая при этом Украину Грузию и европейские демократические ценности",neutral
1025,"россия,сша"," Отвечая на этот вопрос автор ссылается на «Доктрину Обамы» видение отношений России и Запада которое президент США изложил в своем интервью журналу The Atlantic Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1026,"россия,украина", Поэтому сейчас действительно стоит задуматься о том должна ли политика Европы в отношении России сводиться исключительно к тому чтобы ослаблять или усиливать давление или же  во имя общих интересов и учитывая опасность такой «односторонней» политики – следует также рассмотреть возможность сотрудничества с Москвой не забывая при этом Украину Грузию и европейские демократические ценности,neutral
1027,"теория обама,бенедикт бернер"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1028,"теория обама,бернер"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1029,"теория обама,обама"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1030,"украина,грузия", Поэтому сейчас действительно стоит задуматься о том должна ли политика Европы в отношении России сводиться исключительно к тому чтобы ослаблять или усиливать давление или же  во имя общих интересов и учитывая опасность такой «односторонней» политики – следует также рассмотреть возможность сотрудничества с Москвой не забывая при этом Украину Грузию и европейские демократические ценности,neutral
1031,"украина,россия"," Но уступки по Украине будут лишь тактическим ходом добавляет она  Россия никогда не откажется от своей сферы интересов охватывающей постсоветское пространство Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1032,"украина,сша"," Теория Обамы ясна пишет Бенедикт Бернер Украина входит в зону жизненно важных интересов России но не США 
",neutral
1033,"author,forbes"," Затем осенью 2014 года Путин еще раз ошеломил старую гвардию Владимир Евтушенков 15е место в списке Forbes с состоянием оцененным в 83 млрд долларов был арестован по подозрению в мошенничестве и краже акций одной из самых крупных нефтяных компаний России — «Башнефти» 
",neutral
1034,"author,gunvor"," Тимченко успевший продать Gunvor за неизвестную сумму буквально за день до вступления в силу санкций занял шестое место в списке самых богатых людей России с состоянием в 15 миллиардов долларов
",neutral
1035,"author,авгиев"," Следует ли осуществить полную люстрацию чтобы раз и навсегда очистить российские Авгиевы конюшни 
",neutral
1036,"author,авен"," В Москве остался только председатель совета директоров «Альфабанка» Петр Авен 
",neutral
1037,"author,александр бортников"," Силовиков представляет глава администрации президента Сергей Иванов секретарь Совета безопасности Николай Патрушев начальник Службы внешней разведки Михаил Фрадков и начальник Федеральной службы безопасности Александр Бортников 
",neutral
1038,"author,англия"," Но однажды он утратил осторожность и на конференции региональных губернаторов сказал «Вечный наш противник — это Англия которая гадила нам всегда и будет делать это дальше»
",neutral
1039,"author,аркадий ротенберг"," Протесты водителей грузовиков в России против нового налога от которого обогащался сын Аркадия Ротенберга близкого друга и спаррингпартнера Путина по дзюдо одно время были любимой темой 
",neutral
1040,"author,асад"," Сравнив режим Путина с мафиозным режимом Асада Снеговая утверждает что Путин еще более уязвим чем Асад 
",neutral
1041,"author,башкортостан"," Муртаза Рахимов приятель Ельцина управлявший Башкортостаном как личной вотчиной приватизировал «Башнефть» в 2003 году и передал контрольный пакет акций холдингу своего сына Урала 
",neutral
1042,"author,великобритания"," С тех пор Фридман остается в Великобритании 
",neutral
1043,"author,виктор янукович"," Некоторые украинские олигархи поддержали молодых идеалистов на Майдане в 2014 году и предали коррумпированного президента Виктора Януковича 
",neutral
1044,"author,владимир владимирович"," Они решили что правление Путина будет бесконечным и в 2024 году после истечения четвертого срока Владимир Владимирович снова сделает рокировку со своим младшим партнером и пересядет в кресло премьера
",neutral
1045,"author,грозный"," Мало кто из чеченцев помимо круга приближенных Кадырова пользующихся федеральными средствами присылаемыми Кремлем в Грозный готовы простить русским две кровавых войны на своей земле 
",neutral
1046,"author,домодедово"," Но президентом был Медведев и Каменщик вложивший около миллиарда в Домодедово сумел договориться с правительством 
",neutral
1047,"author,евтушенков"," После того как Евтушенков передал правительству акции «Башнефти» его отпустили 
 Российские обозреватели уверены что это еще один Евтушенков 
",neutral
1048,"author,евтушенкова"," В 2009 году компания Евтушенкова купила контрольный пакет
",neutral
1049,"author,ельцин"," Говорят что отличительной чертой президентства Ельцина было то что бизнесменов трясли бандиты 
",neutral
1050,"author,запад"," В публичных интервью Иванов редко демонстрирует более подозрительное отношение к Западу чем сам Путин 
",neutral
1051,"author,кадыров"," Несколько человек арестованных по делу об убийстве Немцова оказались бойцами Кадырова а еще несколько его приближенных обвиненных в планировании и заказе убийства держатся вне досягаемости следователей 
 Несколько раз за минувшие недели Кадыров угрожал расправой российским оппозиционерам без официального одобрения или осуждения со стороны Кремля
 Фонд похоже служит Кадырову личным счетом 
 Многие возмущены словами Кадырова о Путине которого они считают ответственным за вторую очень жестокую войну
 Но если Путин по какойто причине уйдет скорее всего на следующий день Кадыров будет мертв 
",neutral
1052,"author,катерина"," Другая часть внутреннего круга приближенных Путина — это бизнесмены которых он называет своими друзьями — уже упомянутая семья Ротенберг Юрий и Михаил Ковальчук Геннадий Тимченко и клан Шамаловых 33летний Кирилл Шамалов состояние которого оценивается в три миллиарда долларов женат на Катерине младшей дочери Путина
",neutral
1053,"author,кгб"," Правда оказалось что слова Олбрайт «добыл» бывший генерал КГБ работавший с бюро паранормальных исследований этой структуры 
",neutral
1054,"author,кирилл шамал"," Другая часть внутреннего круга приближенных Путина — это бизнесмены которых он называет своими друзьями — уже упомянутая семья Ротенберг Юрий и Михаил Ковальчук Геннадий Тимченко и клан Шамаловых 33летний Кирилл Шамалов состояние которого оценивается в три миллиарда долларов женат на Катерине младшей дочери Путина
",neutral
1055,"author,красноярск"," Он может убить оппозиционера в Москве а его люди могут унизить чиновника в Красноярске но этим его власть и ограничивается
",neutral
1056,"author,кремль"," Увы 2015 год пришел и ушел а Путин попрежнему в Кремле 
 Они получают доходы выше средних от Кремля поддерживая функционирование коррумпированного клептократического режима
",neutral
1057,"author,крым"," Но когда два года назад Путин аннексировал Крым многие российские интеллектуалы поняли что это начало конца его правления 
 Что делать с Крымом 
",neutral
1058,"author,львов"," Он посещает украинский Львов свой родной город где он спонсирует фестиваль джаза
",neutral
1059,"author,майдан"," Некоторые украинские олигархи поддержали молодых идеалистов на Майдане в 2014 году и предали коррумпированного президента Виктора Януковича 
 Так что когда президент Янукович не смог услужить олигархам многие из них с радостью воспользовались Майданом чтобы избавиться от него
 Он объясняет этой теорией все — от настоящих целей НАТО до причины волнений на Майдане и западных санкций в ответ на аннексию Крыма Россией

",neutral
1060,"author,михаил фридман"," В 1990х и начале 2000х годах такие люди как Олег Дерипаска Роман Абрамович Борис Березовский и Михаил Фридман возглавляли список олигархов располагая как огромными деньгами так и большим политическим влиянием 
",neutral
1061,"author,михаил ходорковский"," Те кто не понял смысла происшествия выучили урок на примере Михаила Ходорковского получившего десять лет тюрьмы сохранение богатства зависит от отказа от политических амбиций 
",neutral
1062,"author,москва"," В Москве остался только председатель совета директоров «Альфабанка» Петр Авен 
 Им разрешено только обогащаться пока Москва не решит что хватит с них
 Он может убить оппозиционера в Москве а его люди могут унизить чиновника в Красноярске но этим его власть и ограничивается
 Его наемная армия не успеет добраться до Москвы 
",neutral
1063,"author,навальный"," Я лично знаю нескольких мультимиллионеров тайно спонсировавших Навального 
",neutral
1064,"author,нато"," Он объясняет этой теорией все — от настоящих целей НАТО до причины волнений на Майдане и западных санкций в ответ на аннексию Крыма Россией

",neutral
1065,"author,немцов"," Несколько человек арестованных по делу об убийстве Немцова оказались бойцами Кадырова а еще несколько его приближенных обвиненных в планировании и заказе убийства держатся вне досягаемости следователей 
",neutral
1066,"author,нтв"," Первым из этой группы Путин изгнал медиамагната Владимира Гусинского который говорит что был вынужден продать свое имущество включая ранее независимый телеканал НТВ попав под арест перед тем как покинуть Россию 
",neutral
1067,"author,олбрайт"," В 2006 году старый генерал утверждал что его подчиненные смогли на расстоянии прочесть мысли Олбрайт в 1999 году пристально изучая ее фотографии 
 По их мнению Олбрайт патологически ненавидит все славянские народы и вынашивает планы относительно российских полезных ископаемых 
",neutral
1068,"author,петр авен"," В Москве остался только председатель совета директоров «Альфабанка» Петр Авен 
",neutral
1069,"author,приближенный путин"," Приближенные Путина — единственные гарантом чьего состояния выступает лично президент 
",neutral
1070,"author,путин"," Они решили что правление Путина будет бесконечным и в 2024 году после истечения четвертого срока Владимир Владимирович снова сделает рокировку со своим младшим партнером и пересядет в кресло премьера
 Но когда два года назад Путин аннексировал Крым многие российские интеллектуалы поняли что это начало конца его правления 
 Сорос говорит что «популярность Путина остающаяся высокой основана на способности правительства обеспечить финансовую стабильность и медленное но постоянное повышение уровня жизни» 
 Протесты водителей грузовиков в России против нового налога от которого обогащался сын Аркадия Ротенберга близкого друга и спаррингпартнера Путина по дзюдо одно время были любимой темой 
 В отличие от Сирии в России нет ни одной группы чье физическое выживание зависело бы от Путина 
 Путину придется быстро уйти
 Дни режима Путина точно сочтены и мудрые комментаторы как Снеговая правы обращаясь к элитам в поисках признаков грядущих потрясений 
 Доступ к ресурсам в России принадлежит абсолютному меньшинству внутреннему кругу приближенных Путина который состоит из силовиков и бизнесменов считающихся друзьями президента
 Эти люди — на самой вершине и они вместе с Путиным определяют внешнюю политику страны и российскую военную стратегию 
 Их участие в процессе принятия решений сводится к выступлениям с речами на международных экономических форумах в надежде что их услышит и поддержит Путин что бывает редко

 При Путине их трясут силовики 
 При Путине многие из этих олигархов — так называемая «Семья Ельцина» — умножили свое богатство в обмен на отказ от политического влияния
 Путин хотел дать понять что такое поведение неприемлемо и этой цели служило дело Евтушенкова
 Приближенные Путина — единственные гарантом чьего состояния выступает лично президент 
 Вдобавок люди Путина обогащаются уникальным способом — они доят федеральный бюджет 
 Но если Путин снимет губернатора а это нередко происходит неожиданно то региональная элита уходит вместе с ним 
 Рахимов вошел в силу задолго до прихода Путина и не был ему обязан 
 Так продолжаться не могло и Путин об этом позаботился
 Многие возмущены словами Кадырова о Путине которого они считают ответственным за вторую очень жестокую войну
 Когда цены на нефть превышали 100 долларов за баррель как было на протяжении большей части правления Путина эта поговорка была неверна для российской элиты 
 Близкие друзья Путина забирают имущество того кто не принадлежит их кругу
 Путин преуспел в сосредоточении власти в руках тесного сплоченного круга людей близких ему лично и верных ему 
 Региональные элиты зависят от милости Путина а бюрократы и госслужащие никогда не имели политической власти 
 Неважно сколько Тимченко и Ротенберг будут говорить о своей поддержке Путина на первом месте для них останутся деньги 
 В публичных интервью Иванов редко демонстрирует более подозрительное отношение к Западу чем сам Путин 
 В последнее время в Москве рассказывают что вскоре после того как в 2014 году Запад ввел против отдельных лиц и компаний санкции к Путину обратились Ротенберги и пожаловались на серьезный экономический ущерб 
 Путин в ответ пообещал компенсировать им потери
 На данный момент Путин выступает безоговорочным сторонником милитаризма 
 И если силовики будут недовольны Путиным то начинающиеся народные волнения изза внутренних проблем станут идеальным предлогом для переворота
",neg
1071,"author,рахимов"," Рахимов вошел в силу задолго до прихода Путина и не был ему обязан 
",neutral
1072,"author,россия"," Пять лет назад когда занимавший тогда пост премьерминистра Путин объявил что займет после Дмитрия Медведева пост президента России российские интеллектуалы впали в отчаяние 
 То что большинство приняло за триумфальный танец России на международной арене либеральное меньшинство оценило как предсмертную агонию режима
 Протесты водителей грузовиков в России против нового налога от которого обогащался сын Аркадия Ротенберга близкого друга и спаррингпартнера Путина по дзюдо одно время были любимой темой 
 В отличие от Сирии в России нет ни одной группы чье физическое выживание зависело бы от Путина 
 История России показывает что дворцовые перевороты происходят чаще чем народные революции
 Доступ к ресурсам в России принадлежит абсолютному меньшинству внутреннему кругу приближенных Путина который состоит из силовиков и бизнесменов считающихся друзьями президента
 Тимченко успевший продать Gunvor за неизвестную сумму буквально за день до вступления в силу санкций занял шестое место в списке самых богатых людей России с состоянием в 15 миллиардов долларов
 Первым из этой группы Путин изгнал медиамагната Владимира Гусинского который говорит что был вынужден продать свое имущество включая ранее независимый телеканал НТВ попав под арест перед тем как покинуть Россию 
 Затем осенью 2014 года Путин еще раз ошеломил старую гвардию Владимир Евтушенков 15е место в списке Forbes с состоянием оцененным в 83 млрд долларов был арестован по подозрению в мошенничестве и краже акций одной из самых крупных нефтяных компаний России — «Башнефти» 
 Региональные элиты в России ничем не владеют 
 Сейчас нефть стоит порядка 30 долларов за баррель и разнообразные военные расходы России дополнительно обременяют экономику 
 Они считают свои войны необходимыми для долгосрочного успеха России во враждебном мировом окружении где заправляют США мечтающие о разрушении России
",neutral
